anime_id,title,type,source,episodes,status,aired_string,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,producer,licensor,studio,genre,premiered year
10524,Duel Masters Victory,TV,Original,52,Finished Airing,"Apr 2, 2011 to Mar 31, 2012",10 min. per ep.,PG-13 - Teens 13 or older,6.17,191,6851.0,8712,796,1,Spring 2011,Shogakukan Productions,,,"Action, Adventure, Comedy, Shounen",2011
3294,Gasshin Sentai Mechander Robo,TV,Unknown,35,Finished Airing,"Mar 3, 1977 to Dec 29, 1977",23 min. per ep.,PG-13 - Teens 13 or older,6.17,79,6851.0,9869,412,0,Spring 1977,Wako Productions,,,"Space, Mecha, Military, Mystery, Sci-Fi",1977
24417,Maido! Urayasu Tekkin Kazoku,TV,Manga,25,Finished Airing,"Jul 6, 2014 to Dec 28, 2014",3 min. per ep.,PG-13 - Teens 13 or older,6.17,102,6874.0,9402,536,2,Summer 2014,,,Studio Deen,"Comedy, Shounen",2014
19769,Mahou Sensou,TV,Light novel,12,Finished Airing,"Jan 10, 2014 to Mar 28, 2014",24 min. per ep.,PG-13 - Teens 13 or older,6.17,67158,6873.0,592,140378,238,Winter 2014,"Media Factory, TBS, flying DOG",Sentai Filmworks,Madhouse,"Action, Fantasy, Magic",2014
34543,Dive!!,TV,Novel,12,Finished Airing,"Jul 7, 2017 to Sep 22, 2017",22 min. per ep.,PG-13 - Teens 13 or older,6.16,8263,6897.0,2183,28269,51,Summer 2017,"Aniplex, Dentsu, Fuji TV, DMM pictures",,Zero-G,"Comedy, Sports",2017
3768,Play Ball,TV,Manga,13,Finished Airing,"Jul 5, 2005 to Sep 27, 2005",24 min. per ep.,G - All Ages,6.16,82,6907.0,9380,541,0,Summer 2005,Magic Bus,,Eiken,"Action, Sports, Shounen",2005
9856,Manga Nihon Emaki,TV,Unknown,46,Finished Airing,"Oct 5, 1977 to Sep 27, 1978",25 min. per ep.,G - All Ages,6.16,19,11173.0,11345,190,0,Fall 1977,,,,Historical,1977
25429,Isuca,TV,Manga,10,Finished Airing,"Jan 24, 2015 to Mar 28, 2015",23 min. per ep.,R+ - Mild Nudity,6.16,40725,6900.0,955,88487,78,Winter 2015,"Kadokawa Shoten, AT-X, DAX Production, KlockWorx, MAGES.",,Arms,"Action, Comedy, Ecchi, Romance, School, Seinen, Supernatural",2015
5475,Time Bokan 2000: Kaitou Kiramekiman,TV,Unknown,26,Finished Airing,"Apr 5, 2000 to Oct 4, 2000",25 min. per ep.,PG-13 - Teens 13 or older,6.16,83,6917.0,9758,436,1,Spring 2000,"TV Tokyo, Yomiuri Advertising",,Tatsunoko Production,"Action, Adventure, Comedy, Mecha, Sci-Fi",2000
9520,Zero Tester,TV,Original,38,Finished Airing,"Oct 1, 1973 to Jun 17, 1974",24 min. per ep.,PG-13 - Teens 13 or older,6.16,37,12837.0,10615,278,1,Fall 1973,Tohokushinsha Film Corporation,,Sunrise,"Action, Sci-Fi, Adventure, Mecha",1973
22831,Abarenbou Rikishi!! Matsutarou,TV,Manga,23,Finished Airing,"Apr 6, 2014 to Sep 28, 2014",22 min. per ep.,PG-13 - Teens 13 or older,6.16,2352,6888.0,4372,6517,10,Spring 2014,,,Toei Animation,"Sports, Seinen",2014
10987,Zettai Zetsumei Dangerous Jiisan (2004),TV,Manga,51,Finished Airing,"Apr 4, 2004 to Mar 27, 2005",5 min. per ep.,G - All Ages,6.16,25,12841.0,11448,184,0,Spring 2004,,,,"Comedy, Kids",2004
34295,Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,TV,4-koma manga,12,Finished Airing,"Jan 3, 2017 to Mar 21, 2017",3 min. per ep.,PG-13 - Teens 13 or older,6.16,2482,6895.0,4548,5977,16,Winter 2017,"Dream Creation, On-Lead",,Seven,"Slice of Life, Comedy",2017
32571,Shounen Ashibe: Go! Go! Goma-chan,TV,4-koma manga,32,Finished Airing,"Apr 5, 2016 to Feb 21, 2017",9 min. per ep.,G - All Ages,6.16,444,6912.0,6732,2127,9,Spring 2016,,,"Bridge, Husio Studio","Slice of Life, Comedy, Seinen",2016
23037,Bakumatsu Rock,TV,Game,12,Finished Airing,"Jul 2, 2014 to Sep 17, 2014",23 min. per ep.,PG-13 - Teens 13 or older,6.15,7070,6921.0,2559,21568,41,Summer 2014,"Nihon Ad Systems, Marvelous AQL, NBCUniversal Entertainment Japan",Sentai Filmworks,Studio Deen,"Action, Music, Comedy, Historical, Shoujo",2014
6077,Akubi Girl,TV,Unknown,26,Finished Airing,"Apr 2, 2006 to Sep 24, 2006",4 min. per ep.,PG - Children,6.15,105,6924.0,9872,408,0,Spring 2006,,,Tatsunoko Production,"Comedy, Fantasy",2006
5052,Eightman,TV,Manga,56,Finished Airing,"Nov 7, 1963 to Dec 24, 1964",25 min. per ep.,PG-13 - Teens 13 or older,6.15,161,6929.0,8615,834,2,Fall 1963,,,Nippon Animation,"Action, Mecha, Drama, Sci-Fi",1963
1156,I: Wish You Were Here,TV,Original,4,Finished Airing,"Oct 4, 2001 to Nov 24, 2001",27 min. per ep.,PG-13 - Teens 13 or older,6.15,3062,6936.0,4266,6983,10,Fall 2001,"GDH, Media Factory",ADV Films,Gonzo,"Action, Drama, Mystery, Sci-Fi",2001
6822,Ukkari Pénélope (2009),TV,Unknown,26,Finished Airing,"Jun 29, 2009 to Jan 2, 2010",5 min. per ep.,G - All Ages,6.15,76,6947.0,10028,379,0,Summer 2009,NHK,,Nippon Animation,"Comedy, Slice of Life",2009
310,"Chiisana Obake Acchi, Kocchi, Socchi",TV,Picture book,50,Finished Airing,"Apr 9, 1991 to Apr 7, 1992",25 min. per ep.,G - All Ages,6.15,455,6925.0,7653,1366,2,Spring 1991,,,Studio Pierrot,"Comedy, Supernatural",1991
23151,Shounen Hollywood: Holly Stage for 49,TV,Novel,13,Finished Airing,"Jul 6, 2014 to Sep 27, 2014",24 min. per ep.,PG-13 - Teens 13 or older,6.15,3036,6941.0,3400,12092,26,Summer 2014,,Funimation,Zexcs,"Music, Slice of Life, Shoujo",2014
12677,Ozma,TV,Original,6,Finished Airing,"Mar 17, 2012 to Apr 21, 2012",24 min. per ep.,PG-13 - Teens 13 or older,6.14,5850,6973.0,3355,12516,6,Spring 2012,"WOWOW, Pony Canyon, Planet, LandQ studios, Viki, Slowcurve, Cyclone Graphics inc",,Gonzo,"Action, Sci-Fi, Adventure",2012
8345,Ukkari Pénélope,TV,Unknown,26,Finished Airing,"Nov 20, 2006 to Dec 25, 2006",5 min. per ep.,G - All Ages,6.14,29,12562.0,11247,199,0,Fall 2006,NHK,,Nippon Animation,"Comedy, Slice of Life",2006
18939,Shimajirou Hesoka,TV,Original,101,Finished Airing,"Apr 5, 2010 to Mar 26, 2012",25 min. per ep.,G - All Ages,6.14,21,12049.0,12177,139,0,Spring 2010,,,The Answer Studio,"Adventure, Comedy, Fantasy, Kids, Magic",2010
9906,Sue Cat,TV,Unknown,40,Finished Airing,"Jun 4, 1980 to Dec 28, 1980",13 min. per ep.,PG - Children,6.14,21,12278.0,11544,175,0,Summer 1980,Asatsu DK,,Knack Productions,"Adventure, Music, Shoujo",1980
3845,Mahoutsukai Chappy,TV,Unknown,39,Finished Airing,"Apr 3, 1972 to Dec 25, 1972",25 min. per ep.,G - All Ages,6.14,76,6969.0,10292,330,0,Spring 1972,,,Toei Animation,"Adventure, Kids, Magic",1972
7639,Shounen Santa no Daibouken!,TV,Novel,24,Finished Airing,"Apr 6, 1996 to Sep 21, 1996",23 min. per ep.,G - All Ages,6.14,22,12137.0,11651,168,1,Spring 1996,"TBS, K-Factory",,Studio Deen,"Adventure, Fantasy, Shounen",1996
8964,Stitch!: Zutto Saikou no Tomodachi,TV,Unknown,29,Finished Airing,"Jul 6, 2010 to Mar 8, 2011",25 min. per ep.,PG - Children,6.14,296,6979.0,8269,1004,3,Summer 2010,,,Shin-Ei Animation,"Adventure, Comedy, Kids",2010
624,Mouse,TV,Manga,12,Finished Airing,"Jan 5, 2003 to Mar 26, 2003",14 min. per ep.,R+ - Mild Nudity,6.14,6136,6971.0,3277,13195,22,Winter 2003,Broccoli,Media Blasters,"Studio Deen, Studio Hibari, Production Reed","Action, Comedy, Ecchi, Harem, Shounen",2003
35303,Furusato Meguri: Nippon no Mukashibanashi,TV,Other,50,Finished Airing,"Apr 2, 2017 to Mar 25, 2018",22 min. per ep.,G - All Ages,6.14,86,6955.0,9298,564,0,Spring 2017,,,,"Historical, Kids, Supernatural",2017
8812,Alice SOS,TV,Original,28,Finished Airing,"Apr 6, 1998 to Jan 28, 1999",19 min. per ep.,G - All Ages,6.14,113,6955.0,8270,998,1,Spring 1998,NHK,,J.C.Staff,Adventure,1998
3434,Hey! Bumboo,TV,Unknown,130,Finished Airing,"Apr 8, 1985 to Apr 3, 1986",10 min. per ep.,PG - Children,6.14,395,6958.0,8601,842,2,Spring 1985,"NHK, Studio Jack",Saban Entertainment,Nippon Animation,"Adventure, Cars, Kids",1985
4044,Youkai Ningen Bem,TV,Original,26,Finished Airing,"Oct 7, 1968 to Mar 31, 1969",25 min. per ep.,PG-13 - Teens 13 or older,6.14,158,6981.0,8946,695,1,Fall 1968,Daichi Doga,,,"Horror, Demons",1968
5287,Ippatsu Kanta-kun,TV,Unknown,53,Finished Airing,"Sep 18, 1977 to Sep 24, 1978",24 min. per ep.,PG - Children,6.13,134,6998.0,9969,393,1,Fall 1977,,,Tatsunoko Production,"Action, Kids, Adventure, Sports, Comedy",1977
27551,Deko Boko Friends,TV,Original,0,Finished Airing,"Apr 1, 2002 to Mar 18, 2011",1 min.,PG - Children,6.13,15,9965.0,12988,99,1,Spring 2002,NHK,,,"Kids, Comedy",2002
7956,Cybot Robocchi,TV,Unknown,39,Finished Airing,"Oct 7, 1982 to Jun 29, 1983",24 min. per ep.,G - All Ages,6.13,46,9931.0,10955,226,0,Fall 1982,Knack Productions,,,"Comedy, Sci-Fi",1982
32171,Ange Vierge,TV,Card game,12,Finished Airing,"Jul 10, 2016 to Sep 25, 2016",23 min. per ep.,R+ - Mild Nudity,6.13,8605,6989.0,2040,31979,60,Summer 2016,"Sotsu, Sega, KlockWorx, Grooove",,Silver Link.,"Adventure, Magic, Fantasy, School",2016
30519,Ba La La Xiao Mo Xian Zhi: Caihong Xin Shi,TV,Unknown,36,Finished Airing,"Mar 26, 2011 to Dec, 2011",24 min. per ep.,G - All Ages,6.13,67,6994.0,9128,626,1,Spring 2011,G.CMay Animation &amp; Film,,,"Comedy, Magic, Shoujo",2011
7960,Pachislo Kizoku Gin,TV,Unknown,23,Finished Airing,"Apr 11, 2001 to Sep 12, 2001",25 min. per ep.,None,6.13,24,11703.0,10235,338,0,Spring 2001,"Fuji TV, Yomiuri Advertising",,Actas,"Action, Game",2001
22099,Hero Bank,TV,Game,51,Finished Airing,"Apr 7, 2014 to Mar 30, 2015",23 min. per ep.,PG - Children,6.13,384,6997.0,6678,2172,10,Spring 2014,"Tokyo Movie Shinsha, Sega",,TMS Entertainment,"Game, Kids",2014
2781,Saint Luminous Jogakuin,TV,Original,13,Finished Airing,"Oct 6, 1998 to Dec 30, 1998",24 min. per ep.,PG-13 - Teens 13 or older,6.13,562,7004.0,6876,1980,3,Fall 1998,"Genco, Pioneer LDC",,Triangle Staff,"Mystery, Psychological, Supernatural",1998
1955,Kimagure Robot,TV,Unknown,10,Finished Airing,"Dec 22, 2004",2 min. per ep.,PG - Children,6.13,828,7000.0,7178,1715,0,Fall 2004,Beyond C.,,Studio 4°C,"Comedy, Fantasy, Sci-Fi",2004
1885,Master of Epic: The Animation Age,TV,Game,12,Finished Airing,"Jan 8, 2007 to Mar 26, 2007",24 min. per ep.,PG-13 - Teens 13 or older,6.13,317,7003.0,7694,1331,2,Winter 2007,TV Tokyo,,"Gonzo, Palm Studio","Fantasy, Game, Comedy",2007
31674,Larva 3rd Season,TV,Unknown,26,Finished Airing,"Aug 4, 2014 to Nov 26, 2014",1 min. per ep.,G - All Ages,6.12,68,7031.0,12013,147,1,,TUBA,,,Comedy,
6889,Time Bokan Series: Zenderman,TV,Unknown,52,Finished Airing,"Feb 3, 1979 to Jan 26, 1980",24 min. per ep.,PG-13 - Teens 13 or older,6.11,93,7071.0,9740,443,0,Winter 1979,,,Tatsunoko Production,"Action, Sci-Fi, Adventure, Comedy, Super Power, Mecha",1979
3576,Kodai Ouja Kyouryuu King,TV,Game,49,Finished Airing,"Feb 4, 2007 to Jan 27, 2008",25 min. per ep.,PG - Children,6.11,3907,7057.0,4217,7256,26,Winter 2007,"Asatsu DK, Sega, 4Kids Entertainment, Happinet Pictures, Nagoya TV Housou",,Sunrise,"Adventure, Kids, Fantasy",2007
2244,Rakugo Tennyo Oyui,TV,Unknown,12,Finished Airing,"Jan 5, 2006 to Mar 23, 2006",24 min. per ep.,PG-13 - Teens 13 or older,6.11,202,7065.0,7672,1348,1,Winter 2006,Three Fat Samurai,,TNK,"Comedy, Historical",2006
2723,D4 Princess,TV,Manga,24,Finished Airing,"Apr 6, 1999 to Sep 28, 1999",8 min. per ep.,PG-13 - Teens 13 or older,6.11,498,7042.0,7054,1826,3,Spring 1999,Pony Canyon,,Daume,"Action, Sci-Fi, Comedy, Magic, Mecha",1999
9028,Edokko Boy: Gatten Tasuke,TV,Manga,22,Finished Airing,"Oct 19, 1990 to Mar 22, 1991",25 min. per ep.,G - All Ages,6.11,36,10043.0,10843,244,0,Fall 1990,"TV Tokyo, Yomiuri Advertising",,Studio Pierrot,"Comedy, Martial Arts, Police, Sports",1990
9781,Hyouga Senshi Gaislugger,TV,Original,20,Finished Airing,"Apr 12, 1977 to Aug 30, 1977",30 min. per ep.,PG-13 - Teens 13 or older,6.11,35,10535.0,10828,246,0,Spring 1977,TV Asahi,,Toei Animation,"Action, Mecha, Sci-Fi",1977
19901,Donkikko,TV,Unknown,21,Finished Airing,"Sep 7, 1967 to Jan 25, 1968",25 min. per ep.,None,6.11,9,10004.0,12310,131,0,Fall 1967,P Productions,,,"Comedy, Shounen",1967
2694,Hidamari no Ki,TV,Manga,25,Finished Airing,"Apr 5, 2000 to Sep 19, 2000",20 min. per ep.,None,6.11,68,7051.0,8512,882,1,Spring 2000,"VAP, Nippon Television Network",,Madhouse,"Drama, Historical",2000
7681,Kyouryuu Wakusei,TV,Original,60,Finished Airing,"Apr 5, 1993 to Jan 27, 1994",15 min. per ep.,PG-13 - Teens 13 or older,6.11,28,11048.0,11203,202,0,Spring 1993,Studio Junio,,,"Adventure, Fantasy, Historical, Sci-Fi",1993
2892,Hakushon Daimaou,TV,Unknown,52,Finished Airing,"Oct 5, 1969 to Sep 27, 1970",24 min. per ep.,G - All Ages,6.11,416,7048.0,8446,915,1,Fall 1969,,Saban Entertainment,Tatsunoko Production,"Comedy, Fantasy",1969
33795,Mahou Shoujo Nante Mou Ii Desukara. Second Season,TV,Web manga,12,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",4 min. per ep.,PG-13 - Teens 13 or older,6.11,4375,7061.0,3898,8702,4,Fall 2016,"F.M.F, Smiral Animation",,Pine Jam,"Comedy, Magic",2016
15579,Shinkai Densetsu Meremanoid,TV,Unknown,24,Finished Airing,"Oct 9, 1997 to Apr 2, 1998",25 min. per ep.,PG-13 - Teens 13 or older,6.11,18,12083.0,10537,288,1,Fall 1997,"TV Asahi, Kitty Films",,Triangle Staff,"Adventure, Fantasy",1997
545,Mousou Kagaku Series: Wandaba Style,TV,Unknown,12,Finished Airing,"Apr 5, 2003 to Jun 21, 2003",24 min. per ep.,PG-13 - Teens 13 or older,6.11,744,7060.0,6498,2365,2,Spring 2003,,"ADV Films, Maiden Japan",TNK,"Comedy, Sci-Fi",2003
1349,A.D. Police (TV),TV,Unknown,12,Finished Airing,"Apr 8, 1999 to Jun 30, 1999",24 min. per ep.,PG-13 - Teens 13 or older,6.1,2564,7075.0,4294,6875,9,Spring 1999,,ADV Films,AIC,"Action, Mecha, Sci-Fi, Shounen",1999
5628,21 Emon,TV,Unknown,39,Finished Airing,"May 2, 1991 to Mar 26, 1992",25 min. per ep.,G - All Ages,6.1,102,7071.0,9772,434,2,Spring 1991,,,Shin-Ei Animation,"Space, Comedy, Sci-Fi",1991
1175,Metal Fighter Miku,TV,Original,13,Finished Airing,"Jul 8, 1994 to Sep 30, 1994",25 min. per ep.,PG-13 - Teens 13 or older,6.1,509,7084.0,6905,1953,5,Summer 1994,"Victor Entertainment, Studio Jack","Media Blasters, Central Park Media",J.C.Staff,"Sci-Fi, Comedy, Sports, Shounen",1994
